"survey_id","country","package","wtp","sos","info","own","own.fisher","own.industry","own.gov","own.public","STR","RES","ASC","noalt"
4023,NA,10,0,"0","1","2","0","1","0","0",104001,0,1,3
4023,NA,0,0,"0","0","0","0","0","0","0",104002,0,0,3
5001,"MEX",7,20,"1","1","1","1","0","0","0",105001,1,1,3
5001,NA,16,0,"0","0","3","0","0","1","0",105001,0,1,3
5001,NA,0,0,"0","0","0","0","0","0","0",105002,0,0,3
5002,"MEX",7,10,"1","1","1","1","0","0","0",106001,1,1,3
5002,NA,6,0,"0","1","3","0","0","1","0",106001,0,1,3
5002,NA,0,0,"0","0","0","0","0","0","0",106002,0,0,3
5003,"MEX",8,5,"0","0","4","0","0","0","1",107001,1,1,3
5003,NA,3,0,"0","0","1","1","0","0","0",107001,0,1,3
5003,NA,0,0,"0","0","0","0","0","0","0",107002,0,0,3
5004,"MEX",11,15,"1","0","4","0","0","0","1",108001,1,1,3
5004,NA,5,0,"0","1","4","0","0","0","1",108001,0,1,3
5004,NA,0,0,"0","0","0","0","0","0","0",108002,0,0,3
5005,"MEX",8,5,"0","0","4","0","0","0","1",109001,1,1,3
5005,NA,3,0,"0","0","1","1","0","0","0",109001,0,1,3
5005,NA,0,0,"0","0","0","0","0","0","0",109002,0,0,3
5006,"MEX",9,15,"1","1","3","0","0","1","0",110001,1,1,3
5006,NA,6,0,"0","1","3","0","0","1","0",110001,0,1,3
5006,NA,0,0,"0","0","0","0","0","0","0",110002,0,0,3
5007,"MEX",4,5,"1","1","4","0","0","0","1",111001,1,1,3
5007,NA,15,0,"0","1","1","1","0","0","0",111001,0,1,3
5007,NA,0,0,"0","0","0","0","0","0","0",111002,0,0,3
5008,"MEX",2,5,"1","0","3","0","0","1","0",112001,1,1,3
5008,NA,8,0,"0","0","4","0","0","0","1",112001,0,1,3
5008,NA,0,0,"0","0","0","0","0","0","0",112002,0,0,3
5009,"MEX",13,20,"1","0","2","0","1","0","0",113001,1,1,3
5009,NA,16,0,"0","0","3","0","0","1","0",113001,0,1,3
5009,NA,0,0,"0","0","0","0","0","0","0",113002,0,0,3
5010,"MEX",11,15,"1","0","4","0","0","0","1",114001,1,1,3
5010,NA,5,0,"0","1","4","0","0","0","1",114001,0,1,3
5010,NA,0,0,"0","0","0","0","0","0","0",114002,0,0,3
5011,"MEX",15,15,"0","1","1","1","0","0","0",115001,1,1,3
5011,NA,10,0,"0","1","2","0","1","0","0",115001,0,1,3
5011,NA,0,0,"0","0","0","0","0","0","0",115002,0,0,3
5012,"MEX",13,5,"1","0","2","0","1","0","0",116001,1,1,3
5012,NA,9,0,"1","1","3","0","0","1","0",116001,0,1,3
5012,NA,0,0,"0","0","0","0","0","0","0",116002,0,0,3
5013,"MEX",12,20,"1","0","1","1","0","0","0",117001,1,1,3
5013,NA,14,0,"1","1","2","0","1","0","0",117001,0,1,3
5013,NA,0,0,"0","0","0","0","0","0","0",117002,0,0,3
5014,"MEX",2,10,"1","0","3","0","0","1","0",118001,1,1,3
5014,NA,8,0,"0","0","4","0","0","0","1",118001,0,1,3
5014,NA,0,0,"0","0","0","0","0","0","0",118002,0,0,3
5015,"MEX",14,20,"1","1","2","0","1","0","0",119001,1,1,3
5015,NA,10,0,"0","1","2","0","1","0","0",119001,0,1,3
5015,NA,0,0,"0","0","0","0","0","0","0",119002,0,0,3
5016,"MEX",0,0,"0","0","0","0","0","0","0",120002,1,0,3
5016,NA,3,0,"0","0","1","1","0","0","0",120001,0,1,3
5016,NA,4,0,"1","1","4","0","0","0","1",120001,0,1,3
5017,"MEX",7,20,"1","1","1","1","0","0","0",121001,1,1,3
5017,NA,6,0,"0","1","3","0","0","1","0",121001,0,1,3
5017,NA,0,0,"0","0","0","0","0","0","0",121002,0,0,3
5018,"MEX",7,20,"1","1","1","1","0","0","0",122001,1,1,3
5018,NA,16,0,"0","0","3","0","0","1","0",122001,0,1,3
5018,NA,0,0,"0","0","0","0","0","0","0",122002,0,0,3
5019,"MEX",2,15,"1","0","3","0","0","1","0",123001,1,1,3
5019,NA,8,0,"0","0","4","0","0","0","1",123001,0,1,3
5019,NA,0,0,"0","0","0","0","0","0","0",123002,0,0,3
5020,"MEX",0,0,"0","0","0","0","0","0","0",124002,1,0,3
5020,NA,16,0,"0","0","3","0","0","1","0",124001,0,1,3
5020,NA,13,0,"1","0","2","0","1","0","0",124001,0,1,3
5021,"MEX",14,20,"1","1","2","0","1","0","0",125001,1,1,3
5021,NA,12,0,"1","0","1","1","0","0","0",125001,0,1,3
5021,NA,0,0,"0","0","0","0","0","0","0",125002,0,0,3
5023,"MEX",4,20,"1","1","4","0","0","0","1",126001,1,1,3
5023,NA,3,0,"0","0","1","1","0","0","0",126001,0,1,3
5023,NA,0,0,"0","0","0","0","0","0","0",126002,0,0,3
5024,"MEX",0,0,"0","0","0","0","0","0","0",127002,1,0,3
5024,NA,14,0,"1","1","2","0","1","0","0",127001,0,1,3
5024,NA,12,0,"1","0","1","1","0","0","0",127001,0,1,3
5025,"MEX",0,0,"0","0","0","0","0","0","0",128002,1,0,3
5025,NA,13,0,"1","0","2","0","1","0","0",128001,0,1,3
5025,NA,9,0,"1","1","3","0","0","1","0",128001,0,1,3
5026,"MEX",2,20,"1","0","3","0","0","1","0",129001,1,1,3
5026,NA,1,0,"0","0","2","0","1","0","0",129001,0,1,3
5026,NA,0,0,"0","0","0","0","0","0","0",129002,0,0,3
5027,"MEX",4,15,"1","1","4","0","0","0","1",130001,1,1,3
5027,NA,15,0,"0","1","1","1","0","0","0",130001,0,1,3
5027,NA,0,0,"0","0","0","0","0","0","0",130002,0,0,3
5028,"MEX",11,5,"1","0","4","0","0","0","1",131001,1,1,3
5028,NA,5,0,"0","1","4","0","0","0","1",131001,0,1,3
5028,NA,0,0,"0","0","0","0","0","0","0",131002,0,0,3
5029,"MEX",9,10,"1","1","3","0","0","1","0",132001,1,1,3
5029,NA,6,0,"0","1","3","0","0","1","0",132001,0,1,3
5029,NA,0,0,"0","0","0","0","0","0","0",132002,0,0,3
5030,"MEX",11,20,"1","0","4","0","0","0","1",133001,1,1,3
5030,NA,5,0,"0","1","4","0","0","0","1",133001,0,1,3
