"","sos","info","own","fishtech","rank_one","education","wtp_predict","wtp_predict_int"
"141",0,1,"2",1,"pollution","no_formal",-0.0332965434243304,1.44577684937162
"142",0,1,"2",1,"weather","formal",1.15654022535965,2.73836101713494
"143",0,1,"2",1,"weather","higher",2.28903779695641,3.63240038767518
"144",0,1,"2",1,"weather","no_formal",-0.565663329451495,0.51535739018745
"145",0,1,"3",0,"corruption","formal",1.03315335210718,2.95394173912525
"146",0,1,"3",0,"corruption","higher",2.14703577875964,3.84798110966549
"147",0,1,"3",0,"corruption","no_formal",-0.660741913485113,0.730938112177762
"148",0,1,"3",0,"iuu","formal",0.1618730113195,1.68247046277807
"149",0,1,"3",0,"iuu","higher",1.14430701559642,2.57650983331831
"150",0,1,"3",0,"iuu","no_formal",-1.33212695562744,-0.540533164169417
"151",0,1,"3",0,"pollution","formal",-0.21855372682186,1.18799490086462
"152",0,1,"3",0,"pollution","higher",0.706486012696436,2.08203427140487
"153",0,1,"3",0,"pollution","no_formal",-1.62527350061685,-1.03500872608286
"154",0,1,"3",0,"weather","formal",-0.735307183524355,0.257575441680459
"155",0,1,"3",0,"weather","higher",0.111770936224991,1.1516148122207
"156",0,1,"3",0,"weather","no_formal",-2.02346972410991,-1.96542818526703
"157",0,1,"3",1,"corruption","formal",2.39708218566532,4.12087551748744
"158",0,1,"3",1,"corruption","higher",3.71673798399932,5.01491488802769
"159",0,1,"3",1,"corruption","no_formal",0.390264719546127,1.89787189053996
"160",0,1,"3",1,"iuu","formal",1.36484563521507,2.84940424114026
"161",0,1,"3",1,"iuu","higher",2.52876985127513,3.74344361168051
"162",0,1,"3",1,"iuu","no_formal",-0.405148820140032,0.626400614192776
"163",0,1,"3",1,"pollution","formal",0.914140660599132,2.35492867922682
"164",0,1,"3",1,"pollution","higher",2.01006786686035,3.24896804976706
"165",0,1,"3",1,"pollution","no_formal",-0.752449871490183,0.13192505227933
"166",0,1,"3",1,"weather","formal",0.301924614156953,1.42450922004265
"167",0,1,"3",1,"weather","higher",1.30548793971238,2.3185485905829
"168",0,1,"3",1,"weather","no_formal",-1.22420698214552,-0.798494406904835
"169",0,1,"4",0,"corruption","formal",0.957223796004543,3.28447122219714
"170",0,1,"4",0,"corruption","higher",2.05965087367904,4.17851059273739
"171",0,1,"4",0,"corruption","no_formal",-0.719251173751134,1.06146759524966
"172",0,1,"4",0,"iuu","formal",0.0949038446821717,2.01299994584996
"173",0,1,"4",0,"iuu","higher",1.06723433704659,2.90703931639021
"174",0,1,"4",0,"iuu","no_formal",-1.38373158235916,-0.210003681097524
"175",0,1,"4",0,"pollution","formal",-0.281610522690347,1.51852438393652
"176",0,1,"4",0,"pollution","higher",0.63391595691728,2.41256375447676
"177",0,1,"4",0,"pollution","no_formal",-1.67386336035505,-0.70447924301097
"178",0,1,"4",0,"weather","formal",-0.793049602363043,0.588104924752352
"179",0,1,"4",0,"weather","higher",0.0453170275188377,1.4821442952926
"180",0,1,"4",0,"weather","no_formal",-2.06796446878688,-1.63489870219514
"181",0,1,"4",1,"corruption","formal",2.30712576245744,4.45140500055934
"182",0,1,"4",1,"corruption","higher",3.61321000481839,5.34544437109958
"183",0,1,"4",1,"corruption","no_formal",0.320946735242941,2.22840137361185
"184",0,1,"4",1,"iuu","formal",1.28550490144648,3.17993372421216
"185",0,1,"4",1,"iuu","higher",2.43745913058525,4.0739730947524
"186",0,1,"4",1,"iuu","no_formal",-0.46628664156347,0.95693009726467
